pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	ChXZiosryoSishieng	ChXZiosryoXrynmyuk	ChXZiosryoSieuxryn	ChXDzankryenlyi	ChXDzankryen	ChXPyanchet	ChXPyanchetPotyo	XXPyanchet	XXPyanchetPotyo	KXPyanchet	KXPyanchetPotyo	DzXPyanchet	DzXPyanchetPotyo	QhZQhShienglyi	QhZQhXrynlyi	QhZQhDeuyi	thongqitmra
06C40-theng3	汀		thêŋ	theng3	3	45	8	2	"[""P3694r""]"	null		他定反		他定切				null	null	null	U+6C40
06C41-dip4	汁		dip	dip4	4	26	2	2	"[""切三"", ""P3799""]"	null		null		null		寔入切		null	null	null	U+6C41
06C41-tip4	汁		tip	tip4	4	26	3	2	"[""P3799""]"	之入反	《P3799》、《藤田2018》之入反，《切三》誤作“側什反”。	之入反		之入切				章	緝	入	U+6C41
06C41-xep4	汁		xep	xep4	4	25	2	2	"[""切三""]"	null		null		null		檄頰切		null	null	null	U+6C41
06C42-gyu1	求		gyu	gyu1	1	43	29	2	"[""切三""]"	巨鳩反		巨鳩反		巨鳩切				群	尤	平	U+6C42
06C4D-xuan1	汍		xuan	xuan1	1	24	2	2	"[""切三""]"	胡官反		胡官反		胡官切				匣	桓	平	U+6C4D
06C50-ziek4	汐		ziek	ziek4	4	17	11	2	"[""切三""]"	詳亦反		詳昔反		祥易切				邪	昔	入	U+6C50
06C54-qhiwt4	汔		qhiət	qhiwt4	4	8	1	2	"[""切三""]"	null		許訖反		許訖切				曉	迄	入	U+6C54
06C55-sran3	汕		srân	sran3	3	28	4	0	"[""藤田2018""]"	所晏反		所晏反		所晏切				生	諫	去	U+6C55
06C55-sren2	汕		srén	sren2	2	24	1	1	"[""切一""]"	所簡反		所簡反		所簡切				null	null	null	U+6C55
06C57-kan1	汗		kan	kan1	1	24	17	2	"[""切三""]"	null		null		古寒切				null	null	null	U+6C57
06C57-xan1	汗		xan	xan1	1	24	1	2	"[""切三""]"	null		null		胡安切				匣	寒	平	U+6C57
06C57-xan3	汗		xân	xan3	3	27	1	0	"[""藤田2018""]"	胡旦反		胡旦反		侯旰切				匣	翰	去	U+6C57
06C5D-nio2	汝		nió	nio2	2	8	6	2	"[""切三""]"	如與反		如与反		人渚切				日	語	上	U+6C5D
06C5E-xung2	汞		xúŋ	xung2	2	1	7	2	"[""切三""]"	null		胡孔反		胡孔切				匣	董	上	U+6C5E
06C5F-krong1	江		kroŋ	krong1	1	4	1	2	"[""P3696(2)""]"	古雙反		古雙反		古雙切				見	江	平	U+6C5F
06C67-khen1	汧		khen	khen1	1	27	13	2	"[""切三""]"	苦賢反		苦賢反		苦堅切				溪	先	平	U+6C67
06C67-khen3	汧		khên	khen3	3	30	11	0	"[""藤田2018""]"	null		null		苦甸切				null	null	null	U+6C67
06C68-mek4	汨		mek	mek4	4	16	14	2	"[""切三""]"	莫歷反		莫歷反		莫狄切				明	錫	入	U+6C68
06C69-kut4	汩		kut	kut4	4	10	2	2	"[""切三""]"	null	《切三》、《藤田2018》古忽反未收，《P3694v》古忽反。	null		古忽切				見	没	入	U+6C69
06C69-xryt4	汩		xryt	xryt4	4	5	39	2	"[""切三""]"	于筆反		于筆反		于筆切				云	質	入	U+6C69
06C69-xut4	汩		xut	xut4	4	10	null	2	"[""切三"", ""P3694v""]"	null		null		null		胡骨切		匣	没	入	U+6C69
06C6A-quang1	汪		quaŋ	quang1	1	38	13	2	"[""切三""]"	烏光反		烏光反		烏光切				影	唐	平	U+6C6A
06C6A-quang3	汪		quâŋ	quang3	3	41	null	0	"[""藤田2018""]"	null		烏光反		烏浪切				null	null	null	U+6C6A
06C6A-qyang2	汪		qyáŋ	qyang2	2	35	22	2	"[""切三""]"	紆往反		紆罔反		紆往切				null	null	null	U+6C6A
06C6D-nyei3	汭		nyêi	nyei3	3	14	4	3	"[""P3696(1)v""]"	而鋭反		而鋭反		而鋭切				日	祭	去	U+6C6D
06C70-dai3	汰		dâi	dai3	3	12	6	0	"[""藤田2018""]"	徒蓋反		徒蓋反		徒蓋切				null	null	null	U+6C70
06C70-thai3	汰		thâi	thai3	3	12	1	0	"[""藤田2018""]"	null		null		他蓋切				透	泰	去	U+6C70
06C70-that4	汰		that	that4	4	11	20	2	"[""切三"", ""P3694v""]"	null		null		他達切				null	null	null	U+6C70
06C72-krip4	汲		krip	krip4	4	26	15	2	"[""切三""]"	居立反		居立反		居立切				見	緝	入	U+6C72
06C76-mryn1	汶		mryn	mryn1	1	17	46	0	"[""藤田2018""]"	null		null		武巾切				明	真	平	U+6C76
06C76-mun1	汶		mun	mun1	1	22	4	2	"[""切三""]"	null		null		null		謨奔切		明	魂	平	U+6C76
06C76-myun1	汶		myun	myun1	1	19	1	2	"[""切三""]"	武分反		武分反		無分切				null	null	null	U+6C76
06C76-myun3	汶		myûn	myun3	3	22	1	1	"[""TIVK75-100a""]"	無運反		無運反		亡運切				微	問	去	U+6C76
06C79-qhyong1	汹		qhyoŋ	qhyong1	1	3	8	2	"[""P3696(2)""]"	null		null		null		許容切		null	null	null	U+6C79
06C7D-khiwi3	汽		khiə̂i	khiwi3	3	8	13	0	"[""藤田2018""]"	null		null		null		丘既切		溪	未	去	U+6C7D
06C7D-qhiwt4	汽		qhiət	qhiwt4	4	8	1	2	"[""切三""]"	null		許訖反		許訖切				null	null	null	U+6C7D
06C84-xun1	沄		xun	xun1	1	22	1	2	"[""切三""]"	null		null		户昆切				null	null	null	U+6C84
06C84-xyun1	沄		xyun	xyun1	1	19	2	2	"[""切三""]"	null		王分反		王分切				云	文	平	U+6C84
06C85-ngyan1	沅		ŋyan	ngyan1	1	21	1	2	"[""切三""]"	愚袁反		愚袁反		愚袁切				疑	元	平	U+6C85
06C8F-chet4	沏		chet	chet4	4	14	2	2	"[""切三""]"	null		null		千結切				null	null	null	U+6C8F
06C90-muk4	沐		muk	muk4	4	1	17	2	"[""切三""]"	莫卜反		莫卜反		莫卜切				明	屋	入	U+6C90
06C94-mien2	沔		mién	mien2	2	26	19	2	"[""切三""]"	武兖反		武兖反		彌兖切				明	獮	上	U+6C94
06C95-mryt4	沕		mryt	mryt4	4	5	42	2	"[""切三""]"	null		美筆反		美筆切	原作“美畢切”。			明	質	入	U+6C95
06C95-myut4	沕		myut	myut4	4	6	1	2	"[""切三"", ""P3694v""]"	null		null		文弗切				微	物	入	U+6C95
06C9A-tiw2	沚		tiə́	tiw2	2	6	1	2	"[""切三""]"	諸市反		諸市反		諸市切				章	止	上	U+6C9A
06CA1-mut4	没		mut	mut4	4	10	1	2	"[""切三"", ""P3694v""]"	莫勃反		莫勃反		莫勃切				明	没	入	U+6CA1
06CAD-zhyt4	沭		zhyt	zhyt4	4	5	28	2	"[""切三""]"	食聿反		食聿反		食聿切				船	術	入	U+6CAD
06CB3-xa1	河		xa	xa1	1	33	21	2	"[""切三""]"	胡歌反		韓柯反		胡歌切				匣	歌	平	U+6CB3
06CB9-jyu1	油		jyu	jyu1	1	43	5	2	"[""切三""]"	以周反		以周反		以周切				以	尤	平	U+6CB9
06CB9-jyu3	油		jyû	jyu3	3	46	24	2	"[""P3694r""]"	null		null		余救切				null	null	null	U+6CB9
06CBA-den1	沺		den	den1	1	27	10	2	"[""切三""]"	null		null		徒年切				定	先	平	U+6CBA
06CBD-ko1	沽		ko	ko1	1	11	4	1	"[""P3695""]"	古胡反		古胡反		古胡切				見	模	平	U+6CBD
06CBD-ko2	沽		kó	ko2	2	10	6	2	"[""切三""]"	null		姑户反		公户切				見	姥	上	U+6CBD
06CBD-ko3	沽		kô	ko3	3	11	6	0	"[""藤田2018""]"	null		null		古暮切				null	null	null	U+6CBD
06CBF-jyen1	沿		jyen	jyen1	1	28	26	2	"[""切三""]"	与專反		与專反		與專切				以	仙	平	U+6CBF
06CC4-jiei3	泄		jiêi	jiei3	3	14	21	3	"[""P3696(1)v""]"	餘制反		null		餘制切				以	祭	去	U+6CC4
06CC4-siet4	泄		siet	siet4	4	15	1	2	"[""切三""]"	私列反		null		私列切				心	薛	入	U+6CC4
06CCA-bak4	泊		bak	bak4	4	28	13	3	"[""Дх1372+3703""]"	傍各反		傍各反		傍各切				並	鐸	入	U+6CCA
06CCA-phrak4	泊		phrak	phrak4	4	19	20	2	"[""切三""]"	null		null		null		匹陌切		滂	陌	入	U+6CCA
06CD0-liwk4	泐		liək	liwk4	4	29	3	0	"[""藤田2018""]"	null		良直反		林直切				null	null	null	U+6CD0
06CD0-lwk4	泐		lək	lwk4	4	30	3	0	"[""藤田2018""]"	null		null		盧則切				來	德	入	U+6CD0
06CD2-ko1	泒		ko	ko1	1	11	4	1	"[""P3695&P3696(p13)""]"	古胡反		古胡反		古胡切				null	null	null	U+6CD2
06CD3-qrueng1	泓		qrueŋ	qrueng1	1	40	15	2	"[""切三""]"	烏宏反		〼〼〼	《王三》烏宏反脱字，《王一》無本。	烏宏切				影	耕	平	U+6CD3
06CD7-si3	泗		sî	si3	3	6	34	0	"[""藤田2018""]"	息利反		息利反		息利切				心	至	去	U+6CD7
06CE1-brau1	泡		brau	brau1	1	31	15	2	"[""切三""]"	null		null		薄交切				並	肴	平	U+6CE1
06CE1-brau3	泡		brâu	brau3	3	34	14	2	"[""S6176v""]"	null		null		null		皮教切		null	null	null	U+6CE1
06CE1-phrau1	泡		phrau	phrau1	1	31	9	2	"[""切三""]"	匹交反		匹交反		匹交切				滂	肴	平	U+6CE1
06CE3-khrip4	泣		khrip	khrip4	4	26	17	2	"[""切三"", ""P3799""]"	去急反		去急反		去急切				溪	緝	入	U+6CE3
06CE3-lip4	泣		lip	lip4	4	26	14	2	"[""切三"", ""P3799""]"	null		null		null		力入切		null	null	null	U+6CE3
06CE3-srip4	泣		srip	srip4	4	26	20	2	"[""切三"", ""P3799""]"	null		null		null		null		null	null	null	U+6CE3
06CEB-kuen1	泫		kuen	kuen1	1	27	18	2	"[""切三""]"	null		null		null		圭玄切		null	null	null	U+6CEB
06CEB-xuen1	泫		xuen	xuen1	1	27	21	2	"[""切三""]"	null		null		null		胡涓切		null	null	null	U+6CEB
06CEB-xuen2	泫		xuén	xuen2	2	25	12	2	"[""切三""]"	胡犬反		胡犬反		胡畎切				匣	銑	上	U+6CEB
06CEE-phan3	泮		phân	phan3	3	27	11	3	"[""S6176r""]"	普半反		普半反		普半切				滂	换	去	U+6CEE
06CF0-thai3	泰		thâi	thai3	3	12	1	0	"[""藤田2018""]"	他蓋反		他蓋反		他蓋切				透	泰	去	U+6CF0
06CF3-xryeng3	泳		xryêŋ	xryeng3	3	42	13	0	"[""藤田2018""]"	爲柄反		爲柄反		爲命切				云	映	去	U+6CF3
06D01-kit4	洁		kit	kit4	4	5	9	2	"[""切三""]"	null		null		居質切				null	null	null	U+6D01
06D04-xui1	洄		xui	xui1	1	15	4	2	"[""切三""]"	户恢反		户恢反		户恢切				匣	灰	平	U+6D04
06D0A-dzen3	洊		dzên	dzen3	3	30	19	0	"[""藤田2018""]"	null		在見反		在甸切				從	霰	去	U+6D0A
06D0C-liei3	洌		liêi	liei3	3	14	25	3	"[""P3696(1)v""]"	null		null		力制切				null	null	null	U+6D0C
06D0C-liet4	洌		liet	liet4	4	15	2	2	"[""切三""]"	吕薛反		吕結反		良薛切				來	薛	入	U+6D0C
06D11-byuk4	洑		byuk	byuk4	4	1	19	2	"[""切三""]"	null		null		房六切				奉	屋	入	U+6D11
06D17-sei2	洗		séi	sei2	2	11	9	2	"[""切三"", ""TIVK75-100br""]"	先礼反		先礼反		先禮切				心	薺	上	U+6D17
06D17-sen2	洗		sén	sen2	2	25	1	1	"[""切一""]"	蘇顯反		蘇典反		蘇典切				心	銑	上	U+6D17
06D19-dyo1	洙		dyo	dyo1	1	10	11	2	"[""切三""]"	市朱反		市朱反		市朱切				禪	虞	平	U+6D19
06D1B-lak4	洛		lak	lak4	4	28	3	0	"[""藤田2018""]"	盧各反		盧各反		盧各切				來	鐸	入	U+6D1B
06D1E-dung1	洞		duŋ	dung1	1	1	2	3	"[""切二""]"	null		null		徒紅切				null	null	null	U+6D1E
06D1E-dung2	洞		dúŋ	dung2	2	1	12	2	"[""切三""]"	null		null		null		杜孔切		null	null	null	U+6D1E
06D1E-dung3	洞		dûŋ	dung3	3	1	10	3	"[""P3696(1)r""]"	徒弄反		徒弄反		徒弄切				定	送	去	U+6D1E
06D27-xryi2	洧		xrýi	xryi2	2	5	10	2	"[""切三""]"	榮美反		榮美反		榮美切				云	旨	上	U+6D27
06D28-xrau1	洨		xrau	xrau1	1	31	1	2	"[""切三""]"	胡茅反		胡茅反		胡茅切				null	null	null	U+6D28
06D29-jiei3	洩		jiêi	jiei3	3	14	21	3	"[""P3696(1)v""]"	null		餘制反		餘制切				以	祭	去	U+6D29
06D29-siet4	洩		siet	siet4	4	15	1	2	"[""切三""]"	null		〼〼〼	《王三》誤作“私結反”，《王一》無本。	私列切				心	薛	入	U+6D29
06D2A-xung1	洪		xuŋ	xung1	1	1	25	2	"[""P3798""]"	胡籠反		胡籠反		户公切				匣	東	平	U+6D2A
06D2D-khyang1	洭		khyaŋ	khyang1	1	37	26	2	"[""切三""]"	去王反		去王反		去王切				null	null	null	U+6D2D
06D31-niw2	洱		niə́	niw2	2	6	9	2	"[""切三""]"	而止反		而止反		而止切				日	止	上	U+6D31
06D31-niw3	洱		niə̂	niw3	3	7	11	0	"[""藤田2018""]"	null	而止反：“又而志反。”	仍吏反		仍吏切				null	null	null	U+6D31
06D32-tyu1	洲		tyu	tyu1	1	43	12	2	"[""切三""]"	職鳩反		職鳩反		職流切				章	尤	平	U+6D32
06D33-nio1	洳		nio	nio1	1	9	19	2	"[""切三""]"	■魚反	《切二》汝魚反。	汝魚反		人諸切				null	null	null	U+6D33
06D33-nio3	洳		niô	nio3	3	9	18	0	"[""藤田2018""]"	而據反		而據反		人恕切				日	御	去	U+6D33
06D36-qhyong1	洶		qhyoŋ	qhyong1	1	3	8	2	"[""P3696(2)""]"	許容反		許容反		許容切				曉	鍾	平	U+6D36
06D36-qhyong2	洶		qhyóŋ	qhyong2	2	2	15	2	"[""切三""]"	許拱反		許拱反		許拱切				null	null	null	U+6D36
06D38-kuang1	洸		kuaŋ	kuang1	1	38	10	2	"[""切三""]"	古皇反		古皇反		古黄切				見	唐	平	U+6D38
06D38-qhuang2	洸		qhuáŋ	qhuang2	2	36	17	2	"[""切三""]"	null		null		null		null		null	null	null	U+6D38
06D38-quang1	洸		quaŋ	quang1	1	38	13	2	"[""切三""]"	null	古皇反：“又烏光反。”	烏光反		烏光切				null	null	null	U+6D38
06D38-xuang2	洸		xuáŋ	xuang2	2	36	15	2	"[""切三""]"	null		null		null		户廣切		匣	蕩	上	U+6D38
06D3B-kuat4	活		kuat	kuat4	4	11	5	2	"[""切三"", ""P3694v""]"	古活反		古活反		古活切				見	末	入	U+6D3B
06D3B-xuat4	活		xuat	xuat4	4	11	7	2	"[""切三"", ""P3694v""]"	户括反		户括反		户括切				匣	末	入	U+6D3B
06D3D-xrep4	洽		xrep	xrep4	4	22	1	2	"[""切三""]"	侯夾反		侯夾反		侯夾切				匣	洽	入	U+6D3D
06D3D-xwp4	洽		xəp	xwp4	4	20	1	2	"[""切三""]"	null		null		null		null		null	null	null	U+6D3D
06D44-dzieng3	浄		dziêŋ	dzieng3	3	44	13	0	"[""藤田2018""]"	疾政反		疾政反		疾政切				從	勁	去	U+6D44
06D44-dzreng1	浄		dzreŋ	dzreng1	1	40	8	2	"[""切三""]"	null		null		士耕切				null	null	null	U+6D44
06D5A-syn3	浚		sŷn	syn3	3	21	21	0	"[""藤田2018""]"	私閏反		私閏反		私閏切				心	稕	去	U+6D5A
06D5E-dzrok4	浞		dzrok	dzrok4	4	4	3	2	"[""切三""]"	士角反		士角反		士角切				崇	覺	入	U+6D5E
06D63-xuan2	浣		xuán	xuan2	2	22	2	2	"[""切三""]"	胡管反		胡管反		胡管切				匣	緩	上	U+6D63
06D65-qiap4	浥		qiap	qiap4	4	31	5	0	"[""藤田2018""]"	null		null		於業切				null	null	null	U+6D65
06D65-qrep4	浥		qrep	qrep4	4	22	11	2	"[""切三""]"	null		null		烏洽切				影	洽	入	U+6D65
06D65-qrip4	浥		qrip	qrip4	4	26	22	2	"[""切三"", ""P3799""]"	英及反		英及反		於汲切				影	緝	入	U+6D65
06D66-pho2	浦		phó	pho2	2	10	17	2	"[""切三""]"	滂古反		滂古反		滂古切				滂	姥	上	U+6D66
06D6A-lang1	浪		laŋ	lang1	1	38	2	2	"[""切三""]"	魯當反		魯當反		魯當切				來	唐	平	U+6D6A
06D6A-lang3	浪		lâŋ	lang3	3	41	2	0	"[""藤田2018""]"	郎宕反		郎宕反		來宕切				來	宕	去	U+6D6A
06D6C-liw1	浬		liə	liw1	1	7	3	2	"[""切三""]"	null		null		null		陵之切		來	之	平	U+6D6C
06D6C-liw2	浬		liə́	liw2	2	6	10	2	"[""切三"", ""TIVK75-100br""]"	null		null		null		null		null	null	null	U+6D6C
06D6C-qhwi2liw2	浬		qhə́iliə́	qhwi2liw2	null	null	null	null	[]	null		null		null		null		null	null	null	U+6D6C
06D6E-byu1	浮		byu	byu1	1	43	30	2	"[""切三""]"	薄謀反		薄謀反		縛謀切				奉	尤	平	U+6D6E
06D6F-ngo1	浯		ŋo	ngo1	1	11	8	1	"[""P3695""]"	五胡反		五胡反		五乎切				null	null	null	U+6D6F
06D70-len3	浰		lên	len3	3	30	8	0	"[""藤田2018""]"	落見反		落見反		郎甸切				來	霰	去	U+6D70
06D70-li3	浰		lî	li3	3	6	17	0	"[""藤田2018""]"	null		null		null		力至切		null	null	null	U+6D70
06D77-qhwi2	海		qhə́i	qhwi2	2	15	1	2	"[""切三""]"	呼■反	《藤田2018》呼改反。	呼改反		呼改切				嘵	海	上	U+6D77
06D7F-phai3	浿		phâi	phai3	3	12	10	0	"[""藤田2018""]"	null		null		普蓋切				null	null	null	U+6D7F
06D7F-phrei3	浿		phrêi	phrei3	3	16	11	3	"[""P3696(1)v""]"	普拜反		普拜反		普拜切				null	null	null	U+6D7F
06D82-do1	涂		do	do1	1	11	5	1	"[""P3695&P3696(p13)""]"	度都反		度都反		同都切				定	模	平	U+6D82
06D82-drio1	涂		drio	drio1	1	9	18	2	"[""切三""]"	直魚反		直魚反		直魚切				澄	魚	平	U+6D82
06D82-drio3	涂		driô	drio3	3	9	12	0	"[""藤田2018""]"	null		null		null		null		null	null	null	U+6D82
06D82-zio1	涂		zio	zio1	1	9	13	2	"[""切三""]"	null		null		null		null		null	null	null	U+6D82
06D83-khun3	涃		khûn	khun3	3	25	4	0	"[""藤田2018""]"	null		苦悶反		苦悶切				null	null	null	U+6D83
06D85-net4	涅		net	net4	4	14	13	2	"[""切三""]"	奴結反		奴結反		奴結切				泥	屑	入	U+6D85
06D88-sieu1	消		sieu	sieu1	1	30	1	2	"[""切三""]"	相焦反		相焦反		相邀切				心	宵	平	U+6D88
06D89-diep4	涉		diep	diep4	4	24	4	2	"[""切三""]"	時攝反		時攝反		時攝切				禪	葉	入	U+6D89
06D89-tep4	涉		tep	tep4	4	25	10	2	"[""切三"", ""P3799""]"	null		null		丁愜切				null	null	null	U+6D89
06D8C-jyong2	涌		jyóŋ	jyong2	2	2	10	2	"[""切三""]"	餘隴反		餘隴反		余隴切				以	腫	上	U+6D8C
06D94-dziem1	涔		dziem	dziem1	1	47	19	2	"[""切三""]"	null		null		null		慈鹽切		null	null	null	U+6D94
06D94-dzrim1	涔		dzrim	dzrim1	1	46	24	2	"[""S6187""]"	鋤簪反		鋤金反		鋤針切				崇	侵	平	U+6D94
06D96-lei3	涖		lêi	lei3	3	13	20	3	"[""P3696(1)v""]"	null		魯帝反		郎計切				null	null	null	U+6D96
06D96-li3	涖		lî	li3	3	6	17	0	"[""藤田2018""]"	null		力至反		力至切				null	null	null	U+6D96
06DB2-jiek4	液		jiek	jiek4	4	17	4	2	"[""切三""]"	羊益反		羊益反		羊益切				以	昔	入	U+6DB2
06DB2-shiek4	液		shiek	shiek4	4	17	5	2	"[""切三""]"	null		null		null		施隻切		null	null	null	U+6DB2
06DB8-xak4	涸		xak	xak4	4	28	16	3	"[""Дх1372+3703""]"	下各反		下各反		下各切				匣	鐸	入	U+6DB8
06DB8-xo3	涸		xô	xo3	3	11	8	0	"[""藤田2018""]"	null		null		null		胡故切		匣	暮	去	U+6DB8
06DC0-den3	淀		dên	den3	3	30	6	0	"[""藤田2018""]"	堂見反		堂見反		堂練切				定	霰	去	U+6DC0
06DC7-giw1	淇		giə	giw1	1	7	7	2	"[""切三""]"	渠之反		渠之反		渠之切				群	之	平	U+6DC7
06DCB-lim1	淋		lim	lim1	1	46	3	2	"[""切三"", ""S6187""]"	力尋反		力尋反		力尋切				來	侵	平	U+6DCB
06DDD-byui1	淝		byui	byui1	1	8	6	2	"[""切三""]"	符非反		符非反		符非切				奉	微	平	U+6DDD
06DDF-then2	淟		thén	then2	2	25	2	2	"[""切三""]"	他典反		他典反		他典切				透	銑	上	U+6DDF
06DE0-phai3	淠		phâi	phai3	3	12	10	0	"[""藤田2018""]"	null		null		null		普蓋切		null	null	null	U+6DE0
06DE0-phei3	淠		phêi	phei3	3	13	18	3	"[""P3696(1)v""]"	〼〼〼	《P3696(1)v》匹詣反脱字，《藤田2018》匹詣反。	匹詣反	《王一》匹詣反，《王三》匹計反。	匹詣切				null	null	null	U+6DE0
06DE0-phiei3	淠		phiêi	phiei3	3	14	null	3	"[""P3696(1)v""]"	null		null		null		null		null	null	null	U+6DE0
06DE0-phryi3	淠		phrŷi	phryi3	3	6	10	0	"[""藤田2018""]"	null		null		匹備切				null	null	null	U+6DE0
06DE6-kwm1	淦		kəm	kwm1	1	35	14	2	"[""切三""]"	古南反		古南反		古南切				null	null	null	U+6DE6
06DE6-kwm3	淦		kə̂m	kwm3	3	38	2	0	"[""藤田2018""]"	古暗反		古暗反		古暗切				見	勘	去	U+6DE6
06DE9-liwng1	淩		liəŋ	liwng1	1	49	4	2	"[""切三""]"	力膺反		六應反		力膺切				來	蒸	平	U+6DE9
06DEF-jyuk4	淯		jyuk	jyuk4	4	1	27	2	"[""切三""]"	與逐反		與逐反		余六切				null	null	null	U+6DEF
06DF4-qut4	淴		qut	qut4	4	10	7	2	"[""切三"", ""P3694v""]"	null		null		烏没切				null	null	null	U+6DF4
06DF6-lwi1	淶		ləi	lwi1	1	16	7	1	"[""P3695""]"	null		落哀反		落哀切				來	咍	平	U+6DF6
06DF7-kun1	混		kun	kun1	1	22	2	2	"[""切三""]"	null		null		null		公渾切		null	null	null	U+6DF7
06DF7-kun2	混		kún	kun2	2	20	9	1	"[""切一""]"	null		null		null		古本切		null	null	null	U+6DF7
06DF7-xun1	混		xun	xun1	1	22	1	2	"[""切三""]"	null		null		null		胡昆切		匣	魂	平	U+6DF7
06DF7-xun2	混		xún	xun2	2	20	1	1	"[""切一""]"	胡本反		胡本反		胡本切				匣	混	上	U+6DF7
06DFB-them1	添		them	them1	1	48	1	2	"[""切三""]"	■■反	《藤田2018》他兼反。	他兼反		他兼切				透	添	平	U+6DFB
06DFC-mieu2	淼		miéu	mieu2	2	28	10	2	"[""切三""]"	亡沼反		亡沼反		亡沼切				明	小	上	U+6DFC
06E05-chieng1	清		chieŋ	chieng1	1	41	1	2	"[""切三""]"	七精反		七精反		七情切				清	清	平	U+6E05
06E05-chieng3	清		chiêŋ	chieng3	3	44	12	0	"[""藤田2018""]"	null		null		null		七正切		null	null	null	U+6E05
06E1A-tio2	渚		tió	tio2	2	8	5	2	"[""切三""]"	諸与反		諸与反		章与切				章	語	上	U+6E1A
06E1F-deng1	渟		deŋ	deng1	1	42	4	2	"[""切三""]"	null		null		特丁切				定	青	平	U+6E1F
06E20-gio1	渠		gio	gio1	1	9	5	2	"[""切三""]"	强魚反		强魚反		强魚切				群	魚	平	U+6E20
06E20-gio3	渠		giô	gio3	3	9	13	0	"[""藤田2018""]"	null		null		null		其據切		null	null	null	U+6E20
06E21-do3	渡		dô	do3	3	11	2	0	"[""藤田2018""]"	徒故反		徒故反		徒故切				定	暮	去	U+6E21
06E2B-dep4	渫		dep	dep4	4	25	5	2	"[""切三""]"	null	《切三》、《藤田2018》徒協反未收，《P3799》徒協反。	徒協反		徒協切				定	帖	入	U+6E2B
06E2B-drap4	渫		drap	drap4	4	23	2	2	"[""切三""]"	丈甲反		丈甲反		丈甲切				澄	洽	入	U+6E2B
06E2B-dzrep4	渫		dzrep	dzrep4	4	22	4	0	"[""藤田2018""]"	null		null		士洽切				null	null	null	U+6E2B
06E2B-siet4	渫		siet	siet4	4	15	1	2	"[""切三""]"	私列反		〼〼〼	《王三》誤作“私結反”，《王一》無本。	私列切				心	薛	入	U+6E2B
06E2D-xyui3	渭		xyûi	xyui3	3	8	3	0	"[""藤田2018""]"	云貴反		云貴反		于貴切				云	未	去	U+6E2D
06E2F-krong2	港		króŋ	krong2	2	3	1	2	"[""切三""]"	古項反		古項反		古項切				見	講	上	U+6E2F
06E2F-xung3	港		xûŋ	xung3	3	1	21	3	"[""P3696(1)r""]"	null		null		胡貢切				null	null	null	U+6E2F
06E3A-mieu2	渺		miéu	mieu2	2	28	10	2	"[""切三""]"	null		null		亡沼切				明	小	上	U+6E3A
06E43-phrei3	湃		phrêi	phrei3	3	16	11	3	"[""P3696(1)v""]"	普拜反		普拜反		普拜切				滂	怪	去	U+6E43
06E44-mryi1	湄		mryi	mryi1	1	6	27	2	"[""切三"", ""P3696(2)""]"	武悲反		武悲反		武悲切				明	脂	平	U+6E44
06E49-dem1	湉		dem	dem1	1	48	3	2	"[""切三""]"	徒兼反		徒兼反		徒兼切				定	添	平	U+6E49
06E4E-mien2	湎		mién	mien2	2	26	19	2	"[""切三""]"	武兖反		武兖反		彌兖切				明	獮	上	U+6E4E
06E56-xo1	湖		xo	xo1	1	11	3	1	"[""P3695&P3696(p13)""]"	户吴反		户吴反		户吴切				匣	模	平	U+6E56
06E58-siang1	湘		siaŋ	siang1	1	37	15	2	"[""切三""]"	息良反		息良反		息良切				心	陽	平	U+6E58
06E5E-dreng1	湞		dreŋ	dreng1	1	40	14	2	"[""切三""]"	直耕反		直耕反		宅耕切				null	null	null	U+6E5E
06E5E-trieng1	湞		trieŋ	trieng1	1	41	7	0	"[""藤田2018""]"	null		null		陟盈切				知	清	平	U+6E5E
06E5F-xuang1	湟		xuaŋ	xuang1	1	38	9	2	"[""切三""]"	胡光反		胡光反		胡光切				匣	唐	平	U+6E5F
06E67-jyong2	湧		jyóŋ	jyong2	2	2	10	2	"[""切三""]"	null		null		null		尹竦切		以	腫	上	U+6E67
06E6B-ceu2	湫		céu	ceu2	2	27	12	2	"[""切三""]"	〼〼〼	《切三》誤作“子已又反”，《P3693r》子小反，《藤田2018》子了反。	子了反		子了切				精	篠	上	U+6E6B
06E6B-chyu1	湫		chyu	chyu1	1	43	4	2	"[""切三""]"	null		null		七由切				清	尤	平	U+6E6B
06E6B-cieu2	湫		ciéu	cieu2	2	28	17	2	"[""切三""]"	null		null		null		子小切		null	null	null	U+6E6B
06E6B-cyu1	湫		cyu	cyu1	1	43	7	2	"[""切三""]"	null	子已又反：“〔又〕子攸……二反。”	即由反		即由切				精	尤	平	U+6E6B
06E6B-dzyu2	湫		dzyú	dzyu2	2	41	10	2	"[""切三""]"	在久反		在久反		在九切				null	null	null	U+6E6B
06E6F-jiang1	湯		jiaŋ	jiang1	1	37	1	2	"[""切三""]"	null		null		null		余章切		以	陽	平	U+6E6F
06E6F-shiang1	湯		shiaŋ	shiang1	1	37	5	2	"[""切三""]"	null		null		式羊切				書	陽	平	U+6E6F
06E6F-thang1	湯		thaŋ	thang1	1	38	11	2	"[""切三""]"	吐郎反		吐郎反		吐郎切				透	唐	平	U+6E6F
