pieutiwbyo	zyokdziw	tiengdziw	thongqitmraZyokdziw	thongqitmraTiengdziw
0743407434	琴	琴	U+7434	U+7434
0744007440	瑀	瑀	U+7440	U+7440
0744B0744B	瑋	瑋	U+744B	U+744B
0745207452	瑒	瑒	U+7452	U+7452
0745707457	瑗	瑗	U+7457	U+7457
0745A0745A	瑚	瑚	U+745A	U+745A
0746307463	瑣	瑣	U+7463	U+7463
0746F0746F	瑯	瑯	U+746F	U+746F
0747307473	瑳	瑳	U+7473	U+7473
07477074A6	瑷	璦	U+7477	U+74A6
0747E0747E	瑾	瑾	U+747E	U+747E
0748707487	璇	璇	U+7487	U+7487
07487074BF	璇	璿	U+7487	U+74BF
0748907489	璉	璉	U+7489	U+7489
0749007490	璐	璐	U+7490	U+7490
0749707497	璗	璗	U+7497	U+7497
0749C0749C	璜	璜	U+749C	U+749C
0749F0749F	璟	璟	U+749F	U+749F
074A3074A3	璣	璣	U+74A3	U+74A3
074A6074A6	璦	璦	U+74A6	U+74A6
074B0074B0	環	環	U+74B0	U+74B0
074B2074B2	璲	璲	U+74B2	U+74B2
074BF074BF	璿	璿	U+74BF	U+74BF
074DB074DB	瓛	瓛	U+74DB	U+74DB
074DE074DE	瓞	瓞	U+74DE	U+74DE
074E6074E6	瓦	瓦	U+74E6	U+74E6
074EE07515	瓮	甕	U+74EE	U+7515
074EE07F4B	瓮	罋	U+74EE	U+7F4B
074F7074F7	瓷	瓷	U+74F7	U+74F7
0750307503	甃	甃	U+7503	U+7503
0750E0750E	甎	甎	U+750E	U+750E
0751507515	甕	甕	U+7515	U+7515
0751807518	甘	甘	U+7518	U+7518
0751A0751A	甚	甚	U+751A	U+751A
0751C0751C	甜	甜	U+751C	U+751C
0751F0751F	生	生	U+751F	U+751F
0752107521	甡	甡	U+7521	U+7521
0752207523	產	産	U+7522	U+7523
0752307523	産	産	U+7523	U+7523
0752507525	甥	甥	U+7525	U+7525
0752607526	甦	甦	U+7526	U+7526
0752807528	用	用	U+7528	U+7528
0752C0752C	甬	甬	U+752C	U+752C
0753007530	田	田	U+7530	U+7530
0753107531	由	由	U+7531	U+7531
0753207532	甲	甲	U+7532	U+7532
0753307533	申	申	U+7533	U+7533
07535096FB	电	電	U+7535	U+96FB
0753707537	男	男	U+7537	U+7537
0753807538	甸	甸	U+7538	U+7538
0753907539	甹	甹	U+7539	U+7539
0753A0753A	町	町	U+753A	U+753A
0753B0756B	画	畫	U+753B	U+756B
0753E0753E	甾	甾	U+753E	U+753E
0753F0753F	甿	甿	U+753F	U+753F
0754007540	畀	畀	U+7540	U+7540
07545066A2	畅	暢	U+7545	U+66A2
0754B0754B	畋	畋	U+754B	U+754B
0754C0754C	界	界	U+754C	U+754C
0754E0754E	畎	畎	U+754E	U+754E
0754F0754F	畏	畏	U+754F	U+754F
0755107551	畑	畑	U+7551	U+7551
0755407554	畔	畔	U+7554	U+7554
0755D0755D	畝	畝	U+755D	U+755D
0756007560	畠	畠	U+7560	U+7560
0756207562	畢	畢	U+7562	U+7562
0756307563	畣	畣	U+7563	U+7563
0756407564	畤	畤	U+7564	U+7564
0756507565	略	略	U+7565	U+7565
0756707565	畧	略	U+7567	U+7565
0756B0756B	畫	畫	U+756B	U+756B
0756C0756C	畬	畬	U+756C	U+756C
0756C07572	畬	畲	U+756C	U+7572
0756D0756C	畭	畬	U+756D	U+756C
0756F0756F	畯	畯	U+756F	U+756F
0757007570	異	異	U+7570	U+7570
0757207572	畲	畲	U+7572	U+7572
07573053E0	畳	叠	U+7573	U+53E0
0757407587	畴	疇	U+7574	U+7587
0757807578	畸	畸	U+7578	U+7578
0757A0757A	畺	畺	U+757A	U+757A
0757F0757F	畿	畿	U+757F	U+757F
0758607586	疆	疆	U+7586	U+7586
0758707587	疇	疇	U+7587	U+7587
07589053E0	疉	叠	U+7589	U+53E0
0758A053E0	疊	叠	U+758A	U+53E0
0758E0758F	疎	疏	U+758E	U+758F
0758F0758F	疏	疏	U+758F	U+758F
0759007590	疐	疐	U+7590	U+7590
0759107591	疑	疑	U+7591	U+7591
0759207592	疒	疒	U+7592	U+7592
0759407594	疔	疔	U+7594	U+7594
0759807598	疘	疘	U+7598	U+7598
0759907599	疙	疙	U+7599	U+7599
0759A0759A	疚	疚	U+759A	U+759A
0759D0759D	疝	疝	U+759D	U+759D
075A007658	疠	癘	U+75A0	U+7658
075A10760D	疡	瘍	U+75A1	U+760D
075A2075A2	疢	疢	U+75A2	U+75A2
075A3075A3	疣	疣	U+75A3	U+75A3
075A5075A5	疥	疥	U+75A5	U+75A5
075AC07667	疬	癧	U+75AC	U+7667
075AE07621	疮	瘡	U+75AE	U+7621
075B1075B1	疱	疱	U+75B1	U+75B1
075B1076B0	疱	皰	U+75B1	U+76B0
075B8075B8	疸	疸	U+75B8	U+75B8
075BC075BC	疼	疼	U+75BC	U+75BC
075BE075BE	疾	疾	U+75BE	U+75BE
075C0075C0	痀	痀	U+75C0	U+75C0
075C2075C2	痂	痂	U+75C2	U+75C2
075C3075C3	痃	痃	U+75C3	U+75C3
075C7075C7	症	症	U+75C7	U+75C7
075C807670	痈	癰	U+75C8	U+7670
075CA075CA	痊	痊	U+75CA	U+75CA
075CC075CC	痌	痌	U+75CC	U+75CC
075CD075CD	痍	痍	U+75CD	U+75CD
075CE075CE	痎	痎	U+75CE	U+75CE
075CF075CF	痏	痏	U+75CF	U+75CF
075D4075D4	痔	痔	U+75D4	U+75D4
075DB075DB	痛	痛	U+75DB	U+75DB
075DF075DF	痟	痟	U+75DF	U+75DF
075E0075E0	痠	痠	U+75E0	U+75E0
075E2075E2	痢	痢	U+75E2	U+75E2
075E3075E3	痣	痣	U+75E3	U+75E3
075E807646	痨	癆	U+75E8	U+7646
075EB07647	痫	癇	U+75EB	U+7647
075F3075F3	痳	痳	U+75F3	U+75F3
075F9075F9	痹	痹	U+75F9	U+75F9
075FA075F9	痺	痹	U+75FA	U+75F9
075FC075FC	痼	痼	U+75FC	U+75FC
0760C0760C	瘌	瘌	U+760C	U+760C
0760D0760D	瘍	瘍	U+760D	U+760D
0760F0760F	瘏	瘏	U+760F	U+760F
0761607616	瘖	瘖	U+7616	U+7616
0762007620	瘠	瘠	U+7620	U+7620
0762107621	瘡	瘡	U+7621	U+7621
0762507625	瘥	瘥	U+7625	U+7625
0764607646	癆	癆	U+7646	U+7646
0764707647	癇	癇	U+7647	U+7647
0764C0764C	癌	癌	U+764C	U+764C
0764E07647	癎	癇	U+764E	U+7647
0765507670	癕	癰	U+7655	U+7670
0765807658	癘	癘	U+7658	U+7658
0765E07669	癞	癩	U+765E	U+7669
0766707667	癧	癧	U+7667	U+7667
0766907669	癩	癩	U+7669	U+7669
0766F0766F	癯	癯	U+766F	U+766F
0767007670	癰	癰	U+7670	U+7670
0767D0767D	白	白	U+767D	U+767D
0767E0767E	百	百	U+767E	U+767E
0768107682	皁	皂	U+7681	U+7682
0768207682	皂	皂	U+7682	U+7682
0768607686	皆	皆	U+7686	U+7686
0768707687	皇	皇	U+7687	U+7687
0768B0768B	皋	皋	U+768B	U+768B
0768E0768E	皎	皎	U+768E	U+768E
076900768B	皐	皋	U+7690	U+768B
076910769A	皑	皚	U+7691	U+769A
0769507695	皕	皕	U+7695	U+7695
0769A0769A	皚	皚	U+769A	U+769A
0769B0769B	皛	皛	U+769B	U+769B
0769D0769D	皝	皝	U+769D	U+769D
0769E0769E	皞	皞	U+769E	U+769E
076A10769E	皡	皞	U+76A1	U+769E
076A50769E	皥	皞	U+76A5	U+769E
076A7076A7	皧	皧	U+76A7	U+76A7
076AD076AD	皭	皭	U+76AD	U+76AD
076B0076B0	皰	皰	U+76B0	U+76B0
076B4076B4	皴	皴	U+76B4	U+76B4
076B709F13	皷	鼓	U+76B7	U+9F13
076BF076BF	皿	皿	U+76BF	U+76BF
076C2076C2	盂	盂	U+76C2	U+76C2
076C5076C5	盅	盅	U+76C5	U+76C5
076C8076C8	盈	盈	U+76C8	U+76C8
076CA076CA	益	益	U+76CA	U+76CA
076D009E7D	盐	鹽	U+76D0	U+9E7D
076D1076E3	监	監	U+76D1	U+76E3
076D2076D2	盒	盒	U+76D2	U+76D2
076D4076D4	盔	盔	U+76D4	U+76D4
076D6084CB	盖	蓋	U+76D6	U+84CB
076D7076D7	盗	盗	U+76D7	U+76D7
076DB076DB	盛	盛	U+76DB	U+76DB
076DC076D7	盜	盗	U+76DC	U+76D7
076E1076E1	盡	盡	U+76E1	U+76E1
076E3076E3	監	監	U+76E3	U+76E3
076E6076E6	盦	盦	U+76E6	U+76E6
076E7076E7	盧	盧	U+76E7	U+76E7
076E9076E9	盩	盩	U+76E9	U+76E9
076EA076EA	盪	盪	U+76EA	U+76EA
076EC076EC	盬	盬	U+76EC	U+76EC
076EE076EE	目	目	U+76EE	U+76EE
076EF076EF	盯	盯	U+76EF	U+76EF
076F1076F1	盱	盱	U+76F1	U+76F1
076F2076F2	盲	盲	U+76F2	U+76F2
076F4076F4	直	直	U+76F4	U+76F4
076F8076F8	相	相	U+76F8	U+76F8
076FB076FB	盻	盻	U+76FB	U+76FB
076FE076FE	盾	盾	U+76FE	U+76FE
0770107701	省	省	U+7701	U+7701
0770407704	眄	眄	U+7704	U+7704
0770707707	眇	眇	U+7707	U+7707
0770907709	眉	眉	U+7709	U+7709
0770B0770B	看	看	U+770B	U+770B
0770C07E23	県	縣	U+770C	U+7E23
0771A0771A	眚	眚	U+771A	U+771A
0771E0771F	眞	真	U+771E	U+771F
0771F0771F	真	真	U+771F	U+771F
0772907729	眩	眩	U+7729	U+7729
0772F0772F	眯	眯	U+772F	U+772F
0773107731	眱	眱	U+7731	U+7731
0773307733	眳	眳	U+7733	U+7733
0773607736	眶	眶	U+7736	U+7736
0773E08846	眾	衆	U+773E	U+8846
0774007740	着	着	U+7740	U+7740
0774107741	睁	睁	U+7741	U+7741
0774507745	睅	睅	U+7745	U+7745
0774D0774D	睍	睍	U+774D	U+774D
077500775E	睐	睞	U+7750	U+775E
07751077BC	睑	瞼	U+7751	U+77BC
0775807758	睘	睘	U+7758	U+7758
0775B0775B	睛	睛	U+775B	U+775B
0775C07741	睜	睁	U+775C	U+7741
0775E0775E	睞	睞	U+775E	U+775E
0776607766	睦	睦	U+7766	U+7766
0776807768	睨	睨	U+7768	U+7768
0777907779	睹	睹	U+7779	U+7779
0777E0777E	睾	睾	U+777E	U+777E
0778F07758	瞏	睘	U+778F	U+7758
0779607796	瞖	瞖	U+7796	U+7796
077AC077AC	瞬	瞬	U+77AC	U+77AC
077AF077AF	瞯	瞯	U+77AF	U+77AF
077B7077AF	瞷	瞯	U+77B7	U+77AF
077BC077BC	瞼	瞼	U+77BC	U+77BC
077BD077BD	瞽	瞽	U+77BD	U+77BD
077BF077BF	瞿	瞿	U+77BF	U+77BF
077D1077D1	矑	矑	U+77D1	U+77D1
077E2077E2	矢	矢	U+77E2	U+77E2
077E604FAF	矦	侯	U+77E6	U+4FAF
077E906998	矩	榘	U+77E9	U+6998
077E9077E9	矩	矩	U+77E9	U+77E9
077EB077EF	矫	矯	U+77EB	U+77EF
077EF077EF	矯	矯	U+77EF	U+77EF
077F3077F3	石	石	U+77F3	U+77F3
077F4077F4	矴	矴	U+77F4	U+77F4
077F6078EF	矶	磯	U+77F6	U+78EF
077FB077FB	矻	矻	U+77FB	U+77FB
077FC077FC	矼	矼	U+77FC	U+77FC
077FF07926	矿	礦	U+77FF	U+7926
077FF0945B	矿	鑛	U+77FF	U+945B
07800078AD	砀	碭	U+7800	U+78AD
0780C0780C	砌	砌	U+780C	U+780C
0781407814	研	研	U+7814	U+7814
078160750E	砖	甎	U+7816	U+750E
0781707868	砗	硨	U+7817	U+7868
0781A0786F	砚	硯	U+781A	U+786F
0782107821	砡	砡	U+7821	U+7821
0782E0782E	砮	砮	U+782E	U+782E
0783207832	砲	砲	U+7832	U+7832
0783707837	砷	砷	U+7837	U+7837
0783A0792A	砺	礪	U+783A	U+792A
0783E0792B	砾	礫	U+783E	U+792B
0783F07926	砿	礦	U+783F	U+7926
0784307843	硃	硃	U+7843	U+7843
0784E0784E	硎	硎	U+784E	U+784E
0784F07814	硏	研	U+784F	U+7814
0785007850	硐	硐	U+7850	U+7850
07855078A9	硕	碩	U+7855	U+78A9
0785D0785D	硝	硝	U+785D	U+785D
0786807868	硨	硨	U+7868	U+7868
0786A0786A	硪	硪	U+786A	U+786A
0786E078BA	确	確	U+786E	U+78BA
0786F0786F	硯	硯	U+786F	U+786F
0787709E7C	硷	鹼	U+7877	U+9E7C
0788107881	碁	碁	U+7881	U+7881
07887077F4	碇	矴	U+7887	U+77F4
0788707887	碇	碇	U+7887	U+7887
0788D0788D	碍	碍	U+788D	U+788D
0789307893	碓	碓	U+7893	U+7893
0789807898	碘	碘	U+7898	U+7898
0789E0789E	碞	碞	U+789E	U+789E
078A7078A7	碧	碧	U+78A7	U+78A7
078A9078A9	碩	碩	U+78A9	U+78A9
078AD078AD	碭	碭	U+78AD	U+78AD
078B109E7C	碱	鹼	U+78B1	U+9E7C
078BA078BA	確	確	U+78BA	U+78BA
078BB078BB	碻	碻	U+78BB	U+78BB
078C1078C1	磁	磁	U+78C1	U+78C1
078C5078C5	磅	磅	U+78C5	U+78C5
078CB078CB	磋	磋	U+78CB	U+78CB
078D3078D3	磓	磓	U+78D3	U+78D3
078D4078D4	磔	磔	U+78D4	U+78D4
078DA0750E	磚	甎	U+78DA	U+750E
078E0078E0	磠	磠	U+78E0	U+78E0
078EC078EC	磬	磬	U+78EC	U+78EC
078EF078EF	磯	磯	U+78EF	U+78EF
078F2078F2	磲	磲	U+78F2	U+78F2
0791007910	礐	礐	U+7910	U+7910
0791207912	礒	礒	U+7912	U+7912
07920078C1	礠	磁	U+7920	U+78C1
0792607926	礦	礦	U+7926	U+7926
079260945B	礦	鑛	U+7926	U+945B
0792A0792A	礪	礪	U+792A	U+792A
0792B0792B	礫	礫	U+792B	U+792B
0792E0792E	礮	礮	U+792E	U+792E
0793A0793A	示	示	U+793A	U+793A
0793C0793C	礼	礼	U+793C	U+793C
0793C079AE	礼	禮	U+793C	U+79AE
0793E0793E	社	社	U+793E	U+793E
0794607946	祆	祆	U+7946	U+7946
0794807948	祈	祈	U+7948	U+7948
0794907949	祉	祉	U+7949	U+7949
0794A0794A	祊	祊	U+794A	U+794A
0794E07995	祎	禕	U+794E	U+7995
0794F0794F	祏	祏	U+794F	U+794F
0795007950	祐	祐	U+7950	U+7950
0795C0795C	祜	祜	U+795C	U+795C
0795D0795D	祝	祝	U+795D	U+795D
0795E0795E	神	神	U+795E	U+795E
0796B0796B	祫	祫	U+796B	U+796B
0796D0796D	祭	祭	U+796D	U+796D
0796F0798E	祯	禎	U+796F	U+798E
0797A0797A	祺	祺	U+797A	U+797A
0797C0797C	祼	祼	U+797C	U+797C
0798007980	禀	禀	U+7980	U+7980
0798107981	禁	禁	U+7981	U+7981
0798B0798B	禋	禋	U+798B	U+798B
0798E0798E	禎	禎	U+798E	U+798E
0799507995	禕	禕	U+7995	U+7995
0799A0799A	禚	禚	U+799A	U+799A
0799B0799B	禛	禛	U+799B	U+799B
079A6079A6	禦	禦	U+79A6	U+79A6
079A7079A7	禧	禧	U+79A7	U+79A7
079AE079AE	禮	禮	U+79AE	U+79AE
079B4079B4	禴	禴	U+79B4	U+79B4
079B9079B9	禹	禹	U+79B9	U+79B9
079BC079BC	禼	禼	U+79BC	U+79BC
079BD079BD	禽	禽	U+79BD	U+79BD
079C0079C0	秀	秀	U+79C0	U+79C0
079C1079C1	私	私	U+79C1	U+79C1
079C6079C6	秆	秆	U+79C6	U+79C6
079C607A08	秆	稈	U+79C6	U+7A08
079C8079C8	秈	秈	U+79C8	U+79C8
079CA05E74	秊	年	U+79CA	U+5E74
079CB079CB	秋	秋	U+79CB	U+79CB
079CB097A6	秋	鞦	U+79CB	U+97A6
079CC079CB	秌	秋	U+79CC	U+79CB
079CD079CD	种	种	U+79CD	U+79CD
079D1079D1	科	科	U+79D1	U+79D1
079D2079D2	秒	秒	U+79D2	U+79D2
079DD079DD	秝	秝	U+79DD	U+79DD
079E4079E4	秤	秤	U+79E4	U+79E4
079E9079E9	秩	秩	U+79E9	U+79E9
079EB079EB	秫	秫	U+79EB	U+79EB
079EC079EC	秬	秬	U+79EC	U+79EC
079F007A31	称	稱	U+79F0	U+7A31
079F8079F8	秸	秸	U+79F8	U+79F8
079FD07A62	秽	穢	U+79FD	U+7A62
07A0207A02	稂	稂	U+7A02	U+7A02
07A0307A03	稃	稃	U+7A03	U+7A03
07A0507A0E	稅	税	U+7A05	U+7A0E
07A0807A08	稈	稈	U+7A08	U+7A08
07A0B07A0B	程	程	U+7A0B	U+7A0B
07A0C07A0C	稌	稌	U+7A0C	U+7A0C
07A0D07A0D	稍	稍	U+7A0D	U+7A0D
07A0E07A0E	税	税	U+7A0E	U+7A0E
07A1107A11	稑	稑	U+7A11	U+7A11
07A1407A14	稔	稔	U+7A14	U+7A14
07A1807A18	稘	稘	U+7A18	U+7A18
07A1907A19	稙	稙	U+7A19	U+7A19
07A1F07980	稟	禀	U+7A1F	U+7980
07A2007A20	稠	稠	U+7A20	U+7A20
07A2307A4C	稣	穌	U+7A23	U+7A4C
07A3107A31	稱	稱	U+7A31	U+7A31
07A3C07A3C	稼	稼	U+7A3C	U+7A3C
07A3D07A3D	稽	稽	U+7A3D	U+7A3D
07A4207A57	穂	穗	U+7A42	U+7A57
07A4507A45	穅	穅	U+7A45	U+7A45
07A4607A46	穆	穆	U+7A46	U+7A46
07A4A07A4A	穊	穊	U+7A4A	U+7A4A
07A4C07A4C	穌	穌	U+7A4C	U+7A4C
07A4E07A4E	穎	穎	U+7A4E	U+7A4E
07A5107A61	穑	穡	U+7A51	U+7A61
07A5707A57	穗	穗	U+7A57	U+7A57
07A5F07A5F	穟	穟	U+7A5F	U+7A5F
07A6107A61	穡	穡	U+7A61	U+7A61
07A6207A62	穢	穢	U+7A62	U+7A62
07A680983D	穨	頽	U+7A68	U+983D
07A6B07A6B	穫	穫	U+7A6B	U+7A6B
07A7107A71	穱	穱	U+7A71	U+7A71
07A7407A74	穴	穴	U+7A74	U+7A74
07A7607A76	究	究	U+7A76	U+7A76
07A7707AAE	穷	窮	U+7A77	U+7AAE
07A7807A78	穸	穸	U+7A78	U+7A78
07A7907A79	穹	穹	U+7A79	U+7A79
07A7A07A7A	空	空	U+7A7A	U+7A7A
07A7D07A7D	穽	穽	U+7A7D	U+7A7D
07A7F07A7F	穿	穿	U+7A7F	U+7A7F
07A8307ACA	窃	竊	U+7A83	U+7ACA
07A9107AAF	窑	窯	U+7A91	U+7AAF
07A9207A92	窒	窒	U+7A92	U+7A92
07A9307A97	窓	窗	U+7A93	U+7A97
07A9407A94	窔	窔	U+7A94	U+7A94
07A9607A96	窖	窖	U+7A96	U+7A96
07A9707A97	窗	窗	U+7A97	U+7A97
07A9807A98	窘	窘	U+7A98	U+7A98
07A9F07A9F	窟	窟	U+7A9F	U+7A9F
07AA507ABA	窥	窺	U+7AA5	U+7ABA
07AA5095DA	窥	闚	U+7AA5	U+95DA
07AA607AC7	窦	竇	U+7AA6	U+7AC7
07AA807AA8	窨	窨	U+7AA8	U+7AA8
07AAE07AAE	窮	窮	U+7AAE	U+7AAE
07AAF07AAF	窯	窯	U+7AAF	U+7AAF
07ABA07ABA	窺	窺	U+7ABA	U+7ABA
07ABA095DA	窺	闚	U+7ABA	U+95DA
07ABB07A97	窻	窗	U+7ABB	U+7A97
07ABD07ABE	窽	窾	U+7ABD	U+7ABE
07ABE07ABE	窾	窾	U+7ABE	U+7ABE
07AC707AC7	竇	竇	U+7AC7	U+7AC7
07ACA07ACA	竊	竊	U+7ACA	U+7ACA
07ACB07ACB	立	立	U+7ACB	U+7ACB
07AD205947	竒	奇	U+7AD2	U+5947
07AD807AD8	竘	竘	U+7AD8	U+7AD8
07ADD04E26	竝	並	U+7ADD	U+4E26
07ADE07AF6	竞	競	U+7ADE	U+7AF6
07AE007AE0	章	章	U+7AE0	U+7AE0
07AE307AE3	竣	竣	U+7AE3	U+7AE3
07AEB07AEB	竫	竫	U+7AEB	U+7AEB
07AF607AF6	競	競	U+7AF6	U+7AF6
07AF807AF6	竸	競	U+7AF8	U+7AF6
07AF907AF9	竹	竹	U+7AF9	U+7AF9
07AFA07AFA	竺	竺	U+7AFA	U+7AFA
07AFD07AFD	竽	竽	U+7AFD	U+7AFD
07AFF07AFF	竿	竿	U+7AFF	U+7AFF
07B0307BE4	笃	篤	U+7B03	U+7BE4
07B0407B04	笄	笄	U+7B04	U+7B04
07B0807B08	笈	笈	U+7B08	U+7B08
07B0B07B0B	笋	笋	U+7B0B	U+7B0B
07B0F07B0F	笏	笏	U+7B0F	U+7B0F
07B11054B2	笑	咲	U+7B11	U+54B2
07B1107B11	笑	笑	U+7B11	U+7B11
07B1407B46	笔	筆	U+7B14	U+7B46
07B1507B67	笕	筧	U+7B15	U+7B67
07B1907B19	笙	笙	U+7B19	U+7B19
07B1B07B1B	笛	笛	U+7B1B	U+7B1B
07B2007B20	笠	笠	U+7B20	U+7B20
07B2807B28	笨	笨	U+7B28	U+7B28
07B2A07B2A	笪	笪	U+7B2A	U+7B2A
07B2F07B2F	笯	笯	U+7B2F	U+7B2F
07B3107B31	笱	笱	U+7B31	U+7B31
07B3307B33	笳	笳	U+7B33	U+7B33
07B3907B39	笹	笹	U+7B39	U+7B39
07B3E07C69	笾	籩	U+7B3E	U+7C69
07B4507B45	筅	筅	U+7B45	U+7B45
07B4607B46	筆	筆	U+7B46	U+7B46
07B4707B47	筇	筇	U+7B47	U+7B47
07B4907B49	等	等	U+7B49	U+7B49
07B4B07B4B	筋	筋	U+7B4B	U+7B4B
07B4C07B4C	筌	筌	U+7B4C	U+7B4C
07B5007B50	筐	筐	U+7B50	U+7B50
07B5107B51	筑	筑	U+7B51	U+7B51
07B5107BC9	筑	築	U+7B51	U+7BC9
07B5207B52	筒	筒	U+7B52	U+7B52
07B5207B69	筒	筩	U+7B52	U+7B69
07B5307B04	筓	笄	U+7B53	U+7B04
07B5407B54	答	答	U+7B54	U+7B54
07B5A07BF3	筚	篳	U+7B5A	U+7BF3
07B5D07B5D	筝	筝	U+7B5D	U+7B5D
07B6407B64	筤	筤	U+7B64	U+7B64
07B6507B65	筥	筥	U+7B65	U+7B65
07B6607B66	筦	筦	U+7B66	U+7B66
07B6707B67	筧	筧	U+7B67	U+7B67
07B6907B69	筩	筩	U+7B69	U+7B69
07B6E07B6E	筮	筮	U+7B6E	U+7B6E
07B7207B72	筲	筲	U+7B72	U+7B72
07B7907C4C	筹	籌	U+7B79	U+7C4C
07B7C07BD4	筼	篔	U+7B7C	U+7BD4
07B7E07C3D	签	簽	U+7B7E	U+7C3D
07B8007C21	简	簡	U+7B80	U+7C21
07B8507B85	箅	箅	U+7B85	U+7B85
07B8707B87	箇	箇	U+7B87	U+7B87
07B8D07B8D	箍	箍	U+7B8D	U+7B8D
07B8F07B5D	箏	筝	U+7B8F	U+7B5D
07B9207B92	箒	箒	U+7B92	U+7B92
07B9407B94	箔	箔	U+7B94	U+7B94
07B9507B95	箕	箕	U+7B95	U+7B95
07B9607B96	箖	箖	U+7B96	U+7B96
07B9A05284	箚	劄	U+7B9A	U+5284
07B9B07B9B	箛	箛	U+7B9B	U+7B9B
07B9C07B9C	箜	箜	U+7B9C	U+7B9C
07BA107B66	管	筦	U+7BA1	U+7B66
07BA107BA1	管	管	U+7BA1	U+7BA1
07BA707BCB	箧	篋	U+7BA7	U+7BCB
07BAC07BAC	箬	箬	U+7BAC	U+7BAC
07BB107BB1	箱	箱	U+7BB1	U+7BB1
07BB207BB2	箲	箲	U+7BB2	U+7BB2
07BB807BB8	箸	箸	U+7BB8	U+7BB8
07BC107BC1	篁	篁	U+7BC1	U+7BC1
07BC907BC9	築	築	U+7BC9	U+7BC9
07BCB07BCB	篋	篋	U+7BCB	U+7BCB
07BD107C23	篑	簣	U+7BD1	U+7C23
07BD407BD4	篔	篔	U+7BD4	U+7BD4
07BE407BE4	篤	篤	U+7BE4	U+7BE4
07BE507BE5	篥	篥	U+7BE5	U+7BE5
07BE807BE8	篨	篨	U+7BE8	U+7BE8
07BEE07C43	篮	籃	U+7BEE	U+7C43
07BF307BF3	篳	篳	U+7BF3	U+7BF3
07C0907C09	簉	簉	U+7C09	U+7C09
07C0F07C0F	簏	簏	U+7C0F	U+7C0F
07C2107C21	簡	簡	U+7C21	U+7C21
07C2307C23	簣	簣	U+7C23	U+7C23
07C2707C27	簧	簧	U+7C27	U+7C27
07C3307C33	簳	簳	U+7C33	U+7C33
07C3D07C3D	簽	簽	U+7C3D	U+7C3D
07C4107C5F	籁	籟	U+7C41	U+7C5F
07C4307C43	籃	籃	U+7C43	U+7C43
07C4A07C4A	籊	籊	U+7C4A	U+7C4A
07C4C07C4C	籌	籌	U+7C4C	U+7C4C
07C5007C50	籐	籐	U+7C50	U+7C50
07C5E0860C	籞	蘌	U+7C5E	U+860C
07C5F07C5F	籟	籟	U+7C5F	U+7C5F
07C6507C65	籥	籥	U+7C65	U+7C65
07C6907C69	籩	籩	U+7C69	U+7C69
07C7207C72	籲	籲	U+7C72	U+7C72
07C7307C73	米	米	U+7C73	U+7C73
07C7407CF4	籴	糴	U+7C74	U+7CF4
07C7C079C8	籼	秈	U+7C7C	U+79C8
07C8107C81	粁	粁	U+7C81	U+7C81
07C8207C82	粂	粂	U+7C82	U+7C82
07C8D07C8D	粍	粍	U+7C8D	U+7C8D
07C9207C92	粒	粒	U+7C92	U+7C92
07C9407C94	粔	粔	U+7C94	U+7C94
07C9507C95	粕	粕	U+7C95	U+7C95
07C9B08085	粛	肅	U+7C9B	U+8085
07C9C07CF6	粜	糶	U+7C9C	U+7CF6
07C9D07CF2	粝	糲	U+7C9D	U+7CF2
07CA207CA2	粢	粢	U+7CA2	U+7CA2
07CA707CA7	粧	粧	U+7CA7	U+7CA7
07CAA07CDE	粪	糞	U+7CAA	U+7CDE
07CAE07CAE	粮	粮	U+7CAE	U+7CAE
07CAE07CE7	粮	糧	U+7CAE	U+7CE7
07CB107CB1	粱	粱	U+7CB1	U+7CB1
07CBE07CBE	精	精	U+7CBE	U+7CBE
07CC007CC0	糀	糀	U+7CC0	U+7CC0
07CCA07CCA	糊	糊	U+7CCA	U+7CCA
07CCA0992C	糊	餬	U+7CCA	U+992C
07CCD09908	糍	餈	U+7CCD	U+9908
07CCE07CCE	糎	糎	U+7CCE	U+7CCE
07CD507CD5	糕	糕	U+7CD5	U+7CD5
07CD50993B	糕	餻	U+7CD5	U+993B
07CD607CD6	糖	糖	U+7CD6	U+7CD6
07CD609939	糖	餹	U+7CD6	U+9939
07CD907CD9	糙	糙	U+7CD9	U+7CD9
07CDA07CA7	糚	粧	U+7CDA	U+7CA7
07CDE07CDE	糞	糞	U+7CDE	U+7CDE
07CE007A45	糠	穅	U+7CE0	U+7A45
07CE007CE0	糠	糠	U+7CE0	U+7CE0
07CE707CE7	糧	糧	U+7CE7	U+7CE7
07CF207CF2	糲	糲	U+7CF2	U+7CF2
07CF407CF4	糴	糴	U+7CF4	U+7CF4
07CF607CF6	糶	糶	U+7CF6	U+7CF6
07CF807CF8	糸	糸	U+7CF8	U+7CF8
07CF807D72	糸	絲	U+7CF8	U+7D72
07CFA07CFE	糺	糾	U+7CFA	U+7CFE
07CFB04FC2	系	係	U+7CFB	U+4FC2
07CFB07CFB	系	系	U+7CFB	U+7CFB
07CFE07CFE	糾	糾	U+7CFE	U+7CFE
07D0007D00	紀	紀	U+7D00	U+7D00
07D0207D02	紂	紂	U+7D02	U+7D02
07D0307D03	紃	紃	U+7D03	U+7D03
07D0507D05	紅	紅	U+7D05	U+7D05
