pieutiwbyo	dziwbyo	dziwbyoNguaidziw	thongqitmra
0769E	皞		U+769E
076A1	皡		U+76A1
076A5	皥		U+76A5
076AD	皭		U+76AD
076B0	皰		U+76B0
076B4	皴		U+76B4
076B7	皷		U+76B7
076C5	盅		U+76C5
076C8	盈		U+76C8
076D0	盐		U+76D0
076D1	监		U+76D1
076D2	盒		U+76D2
076D4	盔		U+76D4
076D6	盖		U+76D6
076D7	盗		U+76D7
076DB	盛		U+76DB
076DC	盜		U+76DC
076E1	盡		U+76E1
076E3	監		U+76E3
076E6	盦		U+76E6
076E7	盧		U+76E7
076E9	盩		U+76E9
076EA	盪		U+76EA
076EC	盬		U+76EC
076EE	目		U+76EE
076EF	盯		U+76EF
076F2	盲		U+76F2
076F4	直		U+76F4
076F8	相		U+76F8
076FB	盻		U+76FB
07701	省		U+7701
07704	眄		U+7704
07707	眇		U+7707
0771A	眚		U+771A
0771E	眞		U+771E
07729	眩		U+7729
0772F	眯		U+772F
07733	眳		U+7733
07736	眶		U+7736
0773E	眾		U+773E
07740	着		U+7740
07741	睁		U+7741
07745	睅		U+7745
0774D	睍		U+774D
07750	睐		U+7750
07751	睑		U+7751
0775B	睛		U+775B
0775C	睜		U+775C
0775E	睞		U+775E
07766	睦		U+7766
07779	睹		U+7779
0777E	睾		U+777E
077AC	瞬		U+77AC
077AF	瞯		U+77AF
077B7	瞷		U+77B7
077BC	瞼		U+77BC
077BD	瞽		U+77BD
077D1	矑		U+77D1
077E6	矦		U+77E6
077E9	矩		U+77E9
077F3	石		U+77F3
077F4	矴		U+77F4
077FB	矻		U+77FB
077FC	矼		U+77FC
077FF	矿		U+77FF
07800	砀		U+7800
0780C	砌		U+780C
07814	研		U+7814
07817	砗		U+7817
0781A	砚		U+781A
07821	砡		U+7821
0782E	砮		U+782E
07832	砲		U+7832
07837	砷		U+7837
0783A	砺		U+783A
0783F	砿		U+783F
07843	硃		U+7843
0784E	硎		U+784E
0784F	硏		U+784F
07850	硐		U+7850
07855	硕		U+7855
0785D	硝		U+785D
07868	硨		U+7868
0786A	硪		U+786A
0786F	硯		U+786F
07877	硷		U+7877
07887	碇		U+7887
0788D	碍		U+788D
07898	碘		U+7898
0789E	碞		U+789E
078A7	碧		U+78A7
078A9	碩		U+78A9
078AD	碭		U+78AD
078B1	碱		U+78B1
078C1	磁		U+78C1
078C5	磅		U+78C5
078CB	磋		U+78CB
078D4	磔		U+78D4
078E0	磠		U+78E0
078EC	磬		U+78EC
078F2	磲		U+78F2
07910	礐		U+7910
07912	礒		U+7912
07920	礠		U+7920
07926	礦		U+7926
0792A	礪		U+792A
0792E	礮		U+792E
0793C	礼		U+793C
0793E	社		U+793E
07946	祆		U+7946
07949	祉		U+7949
0794A	祊		U+794A
0794F	祏		U+794F
07950	祐		U+7950
0795C	祜		U+795C
0795E	神		U+795E
0796B	祫		U+796B
0796F	祯		U+796F
07980	禀		U+7980
07981	禁		U+7981
0798E	禎		U+798E
0799A	禚		U+799A
079A6	禦		U+79A6
079AE	禮		U+79AE
079B4	禴		U+79B4
079B9	禹		U+79B9
079BC	禼		U+79BC
079BD	禽		U+79BD
079C6	秆		U+79C6
079C8	秈		U+79C8
079CA	秊		U+79CA
079CB	秋		U+79CB
079CC	秌		U+79CC
079CD	种		U+79CD
079D2	秒		U+79D2
079E4	秤		U+79E4
079E9	秩		U+79E9
079EB	秫		U+79EB
079EC	秬		U+79EC
079F0	称		U+79F0
079F8	秸		U+79F8
079FD	秽		U+79FD
07A02	稂		U+7A02
07A03	稃		U+7A03
07A08	稈		U+7A08
07A0B	程		U+7A0B
07A0C	稌		U+7A0C
07A0D	稍		U+7A0D
07A11	稑		U+7A11
07A14	稔		U+7A14
07A19	稙		U+7A19
07A1F	稟		U+7A1F
07A20	稠		U+7A20
07A23	稣		U+7A23
07A31	稱		U+7A31
07A45	穅		U+7A45
07A46	穆		U+7A46
07A4C	穌		U+7A4C
07A4E	穎		U+7A4E
07A51	穑		U+7A51
07A57	穗		U+7A57
07A5F	穟		U+7A5F
07A61	穡		U+7A61
07A62	穢		U+7A62
07A68	穨		U+7A68
07A71	穱		U+7A71
07A76	究		U+7A76
07A77	穷		U+7A77
07A78	穸		U+7A78
07A79	穹		U+7A79
07A7A	空		U+7A7A
07A7D	穽		U+7A7D
07A7F	穿		U+7A7F
07A83	窃		U+7A83
07A91	窑		U+7A91
07A92	窒		U+7A92
07A94	窔		U+7A94
07A97	窗		U+7A97
07A98	窘		U+7A98
07A9F	窟		U+7A9F
07AA5	窥		U+7AA5
07AA6	窦		U+7AA6
07AA8	窨		U+7AA8
07AAE	窮		U+7AAE
07AAF	窯		U+7AAF
07ABA	窺		U+7ABA
07ABB	窻		U+7ABB
07ABD	窽		U+7ABD
07ABE	窾		U+7ABE
07AC7	竇		U+7AC7
07ACA	竊		U+7ACA
07ACB	立		U+7ACB
07AD8	竘		U+7AD8
07ADD	竝		U+7ADD
07ADE	竞		U+7ADE
07AE3	竣		U+7AE3
07AEB	竫		U+7AEB
07AF9	竹		U+7AF9
07AFA	竺		U+7AFA
07AFF	竿		U+7AFF
07B03	笃		U+7B03
07B04	笄		U+7B04
07B08	笈		U+7B08
07B0B	笋		U+7B0B
07B0F	笏		U+7B0F
07B11	笑		U+7B11
07B14	笔		U+7B14
07B15	笕		U+7B15
07B19	笙		U+7B19
07B1B	笛		U+7B1B
07B20	笠		U+7B20
07B28	笨		U+7B28
07B2A	笪		U+7B2A
07B2F	笯		U+7B2F
07B31	笱		U+7B31
07B39	笹		U+7B39
07B3E	笾		U+7B3E
07B45	筅		U+7B45
07B46	筆		U+7B46
07B47	筇		U+7B47
07B49	等		U+7B49
07B4C	筌		U+7B4C
07B50	筐		U+7B50
07B51	筑		U+7B51
07B52	筒		U+7B52
07B53	筓		U+7B53
07B54	答		U+7B54
07B5A	筚		U+7B5A
07B5D	筝		U+7B5D
07B64	筤		U+7B64
07B65	筥		U+7B65
07B67	筧		U+7B67
07B69	筩		U+7B69
07B6E	筮		U+7B6E
07B72	筲		U+7B72
07B7C	筼		U+7B7C
07B7E	签		U+7B7E
07B80	简		U+7B80
07B85	箅		U+7B85
07B87	箇		U+7B87
07B8F	箏		U+7B8F
07B92	箒		U+7B92
07B94	箔		U+7B94
07B96	箖		U+7B96
07B9A	箚		U+7B9A
07B9C	箜		U+7B9C
07BB1	箱		U+7BB1
07BB2	箲		U+7BB2
07BB8	箸		U+7BB8
07BC1	篁		U+7BC1
07BC9	築		U+7BC9
07BD1	篑		U+7BD1
07BD4	篔		U+7BD4
07BE4	篤		U+7BE4
07BE5	篥		U+7BE5
07BE8	篨		U+7BE8
07BEE	篮		U+7BEE
07BF3	篳		U+7BF3
07C09	簉		U+7C09
07C0F	簏		U+7C0F
07C21	簡		U+7C21
07C23	簣		U+7C23
07C27	簧		U+7C27
07C33	簳		U+7C33
07C3D	簽		U+7C3D
07C41	籁		U+7C41
07C43	籃		U+7C43
07C4A	籊		U+7C4A
07C50	籐		U+7C50
07C5E	籞		U+7C5E
07C5F	籟		U+7C5F
07C65	籥		U+7C65
07C69	籩		U+7C69
07C72	籲		U+7C72
07C73	米		U+7C73
07C74	籴		U+7C74
07C7C	籼		U+7C7C
07C81	粁		U+7C81
07C82	粂		U+7C82
07C8D	粍		U+7C8D
07C92	粒		U+7C92
07C94	粔		U+7C94
07C95	粕		U+7C95
07C9B	粛		U+7C9B
07C9C	粜		U+7C9C
07C9D	粝		U+7C9D
07CA7	粧		U+7CA7
07CAA	粪		U+7CAA
07CAE	粮		U+7CAE
07CB1	粱		U+7CB1
07CBE	精		U+7CBE
07CC0	糀		U+7CC0
07CCA	糊		U+7CCA
07CCE	糎		U+7CCE
07CD5	糕		U+7CD5
07CD6	糖		U+7CD6
07CD9	糙		U+7CD9
07CDA	糚		U+7CDA
07CDE	糞		U+7CDE
07CE0	糠		U+7CE0
07CE7	糧		U+7CE7
07CF2	糲		U+7CF2
07CF4	糴		U+7CF4
07CF6	糶		U+7CF6
07CF8	糸		U+7CF8
07CFA	糺		U+7CFA
07CFB	系		U+7CFB
07CFE	糾		U+7CFE
07D00	紀		U+7D00
07D02	紂		U+7D02
07D03	紃		U+7D03
07D05	紅		U+7D05
07D07	紇		U+7D07
07D0A	紊		U+7D0A
07D0B	紋		U+7D0B
07D0D	納		U+7D0D
07D13	紓		U+7D13
07D15	紕		U+7D15
07D1A	級		U+7D1A
07D1C	紜		U+7D1C
07D21	紡		U+7D21
07D27	紧		U+7D27
07D29	紩		U+7D29
07D2C	紬		U+7D2C
07D2E	紮		U+7D2E
07D32	紲		U+7D32
07D33	紳		U+7D33
07D40	絀		U+7D40
07D42	終		U+7D42
07D43	絃		U+7D43
07D46	絆		U+7D46
07D47	絇		U+7D47
07D48	絈		U+7D48
07D4E	絎		U+7D4E
07D4F	絏		U+7D4F
07D50	結		U+7D50
07D54	絔		U+7D54
07D55	絕		U+7D55
07D5E	絞		U+7D5E
07D61	絡		U+7D61
07D66	給		U+7D66
07D67	絧		U+7D67
07D6E	絮		U+7D6E
07D70	絰		U+7D70
07D71	統		U+7D71
07D72	絲		U+7D72
07D76	絶		U+7D76
07D7F	絿		U+7D7F
07D83	綃		U+7D83
07D9A	続		U+7D9A
07D9D	綝		U+7D9D
07DA2	綢		U+7DA2
07DAA	綪		U+7DAA
07DAC	綬		U+7DAC
07DAF	綯		U+7DAF
07DB1	綱		U+7DB1
07DB2	網		U+7DB2
07DB9	綹		U+7DB9
07DBB	綻		U+7DBB
07DC4	緄		U+7DC4
07DCA	緊		U+7DCA
07DD2	緒		U+7DD2
07DD6	緖		U+7DD6
07DD7	緗		U+7DD7
07DE4	緤		U+7DE4
07DE5	緥		U+7DE5
07DEC	緬		U+7DEC
07DFB	緻		U+7DFB
07DFE	緾		U+7DFE
07E22	縢		U+7E22
07E23	縣		U+7E23
07E2E	縮		U+7E2E
07E34	縴		U+7E34
07E3A	縺		U+7E3A
07E48	繈		U+7E48
07E56	繖		U+7E56
07E62	繢		U+7E62
07E66	繦		U+7E66
07E6D	繭		U+7E6D
07E6E	繮		U+7E6E
07E7C	繼		U+7E7C
07E86	纆		U+7E86
07E88	纈		U+7E88
07E8A	纊		U+7E8A
07E8C	續		U+7E8C
07E8F	纏		U+7E8F
07E91	纑		U+7E91
07E9C	纜		U+7E9C
07EA0	纠		U+7EA0
07EA2	红		U+7EA2
07EA3	纣		U+7EA3
07EA4	纤		U+7EA4
07EA5	纥		U+7EA5
07EA7	级		U+7EA7
07EA9	纩		U+7EA9
07EAA	纪		U+7EAA
07EAD	纭		U+7EAD
07EB0	纰		U+7EB0
07EB2	纲		U+7EB2
07EB3	纳		U+7EB3
07EB9	纹		U+7EB9
07EBA	纺		U+7EBA
07EBE	纾		U+7EBE
07EC1	绁		U+7EC1
07EC5	绅		U+7EC5
07EC6	细		U+7EC6
07EC8	终		U+7EC8
07ECA	绊		U+7ECA
07ECC	绌		U+7ECC
07ED3	结		U+7ED3
07ED6	绖		U+7ED6
07ED7	绗		U+7ED7
07ED9	给		U+7ED9
07EDC	络		U+7EDC
07EDD	绝		U+7EDD
07EDE	绞		U+7EDE
07EDF	统		U+7EDF
07EE1	绡		U+7EE1
07EE7	继		U+7EE7
07EEA	绪		U+7EEA
07EED	续		U+7EED
07EF2	绲		U+7EF2
07EF6	绶		U+7EF6
07EF8	绸		U+7EF8
07EF9	绹		U+7EF9
07EFA	绺		U+7EFA
07EFD	绽		U+7EFD
07F03	缃		U+7F03
07F05	缅		U+7F05
07F06	缆		U+7F06
07F20	缠		U+7F20
07F29	缩		U+7F29
07F2C	缬		U+7F2C
07F30	缰		U+7F30
07F36	缶		U+7F36
07F38	缸		U+7F38
07F3D	缽		U+7F3D
07F3F	缿		U+7F3F
07F44	罄		U+7F44
07F47	罇		U+7F47
07F4B	罋		U+7F4B
07F4E	罎		U+7F4E
07F51	网		U+7F51
07F54	罔		U+7F54
07F55	罕		U+7F55
07F5F	罟		U+7F5F
07F6E	置		U+7F6E
07F71	罱		U+7F71
07F72	署		U+7F72
07F7B	罻		U+7F7B
07F7D	罽		U+7F7D
07F8B	羋		U+7F8B
07F91	羑		U+7F91
07F94	羔		U+7F94
07F96	羖		U+7F96
07F9E	羞		U+7F9E
07FA3	羣		U+7FA3
07FA4	群		U+7FA4
07FA9	義		U+7FA9
07FB2	羲		U+7FB2
07FB6	羶		U+7FB6
07FB9	羹		U+7FB9
07FBF	羿		U+7FBF
07FCA	翊		U+7FCA
07FCC	翌		U+7FCC
07FD5	翕		U+7FD5
07FD9	翙		U+7FD9
07FDF	翟		U+7FDF
07FE5	翥		U+7FE5
07FF1	翱		U+7FF1
07FF6	翶		U+7FF6
07FFA	翺		U+7FFA
07FFD	翽		U+7FFD
08000	耀		U+8000
08005	者		U+8005
08007	耇		U+8007
08008	耈		U+8008
0800A	耊		U+800A
0800B	耋		U+800B
08014	耔		U+8014
08015	耕		U+8015
08018	耘		U+8018
08030	耰		U+8030
08033	耳		U+8033
0803B	耻		U+803B
0803F	耿		U+803F
08054	联		U+8054
08058	聘		U+8058
0805E	聞		U+805E
08069	聩		U+8069
0806E	聮		U+806E
0806F	聯		U+806F
08071	聱		U+8071
08072	聲		U+8072
08075	聵		U+8075
0807F	聿		U+807F
08083	肃		U+8083
08084	肄		U+8084
08086	肆		U+8086
08089	肉		U+8089
0808B	肋		U+808B
08093	肓		U+8093
08096	肖		U+8096
08098	肘		U+8098
0809A	肚		U+809A
0809B	肛		U+809B
0809C	肜		U+809C
0809D	肝		U+809D
080A0	肠		U+80A0
080A1	股		U+80A1
080A5	肥		U+80A5
080A9	肩		U+80A9
080AA	肪		U+80AA
080AC	肬		U+80AC
080AD	肭		U+80AD
080BE	肾		U+80BE
080C0	胀		U+80C0
080C3	胃		U+80C3
080C4	胄		U+80C4
080C6	胆		U+80C6
080CA	胊		U+80CA
080D6	胖		U+80D6
080DC	胜		U+80DC
080DE	胞		U+80DE
080E1	胡		U+80E1
080E4	胤		U+80E4
080F1	胱		U+80F1
080F3	胳		U+80F3
080F4	胴		U+80F4
080F6	胶		U+80F6
080F7	胷		U+80F7
080F8	胸		U+80F8
08103	脃		U+8103
08106	脆		U+8106
0810F	脏		U+810F
0811D	脝		U+811D
08127	脧		U+8127
0812C	脬		U+812C
08138	脸		U+8138
08139	脹		U+8139
08146	腆		U+8146
0814A	腊		U+814A
0814B	腋		U+814B
0814E	腎		U+814E
08154	腔		U+8154
08165	腥		U+8165
08169	腩		U+8169
08174	腴		U+8174
08178	腸		U+8178
0817B	腻		U+817B
0817E	腾		U+817E
0817F	腿		U+817F
08180	膀		U+8180
08182	膂		U+8182
0818B	膋		U+818B
081A9	膩		U+81A9
081BB	膻		U+81BB
081C6	臆		U+81C6
081C8	臈		U+81C8
081C9	臉		U+81C9
081D3	臓		U+81D3
081D8	臘		U+81D8
081DF	臟		U+81DF
081E1	臡		U+81E1
081E3	臣		U+81E3
081E4	臤		U+81E4
081E7	臧		U+81E7
081E8	臨		U+81E8
081EF	臯		U+81EF
081F1	臱		U+81F1
081F3	至		U+81F3
081F4	致		U+81F4
081FA	臺		U+81FA
081FC	臼		U+81FC
081FE	臾		U+81FE
08205	舅		U+8205
0820A	舊		U+820A
0820D	舍		U+820D
0820E	舎		U+820E
08212	舒		U+8212
0821B	舛		U+821B
0821C	舜		U+821C
0821F	舟		U+821F
08221	舡		U+8221
08223	舣		U+8223
0822B	舫		U+822B
08230	舰		U+8230
08233	舳		U+8233
08236	舶		U+8236
08237	舷		U+8237
0823B	舻		U+823B
08245	艅		U+8245
0824E	艎		U+824E
08264	艤		U+8264
08266	艦		U+8266
0826A	艪		U+826A
0826B	艫		U+826B
0826F	良		U+826F
08272	色		U+8272
08278	艸		U+8278
0827A	艺		U+827A
0827D	艽		U+827D
08288	芈		U+8288
0828A	芊		U+828A
0828E	芎		U+828E
08291	芑		U+8291
08292	芒		U+8292
08294	芔		U+8294
0829D	芝		U+829D
0829F	芟		U+829F
082A1	芡		U+82A1
082A5	芥		U+82A5
082A7	芧		U+82A7
082A8	芨		U+82A8
082A9	芩		U+82A9
082AE	芮		U+82AE
082B1	花		U+82B1
082B3	芳		U+82B3
082B4	芴		U+82B4
082B7	芷		U+82B7
082B8	芸		U+82B8
082C8	苈		U+82C8
082CB	苋		U+82CB
082CC	苌		U+82CC
082CF	苏		U+82CF
082D9	苙		U+82D9
082DC	苜		U+82DC
082DE	苞		U+82DE
082DF	苟		U+82DF
082E3	苣		U+82E3
082E6	苦		U+82E6
082EF	苯		U+82EF
08301	茁		U+8301
08317	茗		U+8317
08322	茢		U+8322
08327	茧		U+8327
0832B	茫		U+832B
0832D	茭		U+832D
0832F	茯		U+832F
08331	茱		U+8331
08332	茲		U+8332
08333	茳		U+8333
08334	茴		U+8334
08336	茶		U+8336
08338	茸		U+8338
08339	茹		U+8339
0833A	茺		U+833A
08343	荃		U+8343
08345	荅		U+8345
08346	荆		U+8346
08347	荇		U+8347
08348	荈		U+8348
08349	草		U+8349
0834A	荊		U+834A
0834D	荍		U+834D
08350	荐		U+8350
08352	荒		U+8352
08358	荘		U+8358
0835C	荜		U+835C
0835E	荞		U+835E
08361	荡		U+8361
08366	荦		U+8366
0836B	荫		U+836B
0837B	荻		U+837B
0837C	荼		U+837C
0837E	荾		U+837E
08385	莅		U+8385
0838A	莊		U+838A
0838D	莍		U+838D
08392	莒		U+8392
08395	莕		U+8395
08399	莙		U+8399
083A7	莧		U+83A7
083A8	莨		U+83A8
083AA	莪		U+83AA
083B1	莱		U+83B1
083B2	莲		U+83B2
083B3	莳		U+83B3
083B6	莶		U+83B6
083C1	菁		U+83C1
083DF	菟		U+83DF
083EF	華		U+83EF
083FE	菾		U+83FE
08404	萄		U+8404
08407	萇		U+8407
0840A	萊		U+840A
08429	萩		U+8429
0842C	萬		U+842C
08438	萸		U+8438
0843D	落		U+843D
08446	葆		U+8446
08449	葉		U+8449
0844E	葎		U+844E
08457	著		U+8457
08459	葙		U+8459
0846B	葫		U+846B
0846C	葬		U+846C
08470	葰		U+8470
08473	葳		U+8473
08476	葶		U+8476
08489	蒉		U+8489
0848B	蒋		U+848B
08494	蒔		U+8494
08497	蒗		U+8497
0849E	蒞		U+849E
0849F	蒟		U+849F
084A1	蒡		U+84A1
084A8	蒨		U+84A8
084AF	蒯		U+84AF
084C6	蓆		U+84C6
084CF	蓏		U+84CF
084DD	蓝		U+84DD
084E3	蓣		U+84E3
084EE	蓮		U+84EE
084FA	蓺		U+84FA
084FD	蓽		U+84FD
084FF	蓿		U+84FF
08517	蔗		U+8517
0851A	蔚		U+851A
08523	蔣		U+8523
0852D	蔭		U+852D
08532	蔲		U+8532
08535	蔵		U+8535
08537	蔷		U+8537
08539	蔹		U+8539
0853A	蔺		U+853A
0853B	蔻		U+853B
0854E	蕎		U+854E
08551	蕑		U+8551
08553	蕓		U+8553
08556	蕖		U+8556
08557	蕗		U+8557
08562	蕢		U+8562
08563	蕣		U+8563
08568	蕨		U+8568
08569	蕩		U+8569
08573	蕳		U+8573
08577	蕷		U+8577
0857B	蕻		U+857B
08585	薅		U+8585
0858F	薏		U+858F
08591	薑		U+8591
08594	薔		U+8594
08597	薗		U+8597
0859F	薟		U+859F
085AF	薯		U+85AF
085B3	薳		U+85B3
085B6	薶		U+85B6
085B9	薹		U+85B9
085CD	藍		U+85CD
085CF	藏		U+85CF
085DA	藚		U+85DA
085DD	藝		U+85DD
085E4	藤		U+85E4
085ED	藭		U+85ED
085F6	藶		U+85F6
085F7	藷		U+85F7
085FA	藺		U+85FA
08605	蘅		U+8605
08607	蘇		U+8607
0860C	蘌		U+860C
0861E	蘞		U+861E
08624	蘤		U+8624
08653	虓		U+8653
08654	虔		U+8654
08655	處		U+8655
08657	虗		U+8657
0865B	虛		U+865B
0865E	虞		U+865E
0865F	號		U+865F
0866B	虫		U+866B
0866C	虬		U+866C
0866F	虯		U+866F
08679	虹		U+8679
0867B	虻		U+867B
0867F	虿		U+867F
08681	蚁		U+8681
0868A	蚊		U+868A
0868B	蚋		U+868B
08695	蚕		U+8695
08698	蚘		U+8698
0869B	蚛		U+869B
086A9	蚩		U+86A9
086AA	蚪		U+86AA
086AC	蚬		U+86AC
086AF	蚯		U+86AF
086B0	蚰		U+86B0
086BF	蚿		U+86BF
086C4	蛄		U+86C4
086CA	蛊		U+86CA
086CE	蛎		U+86CE
086D4	蛔		U+86D4
086D5	蛕		U+86D5
086DB	蛛		U+86DB
086DF	蛟		U+86DF
086E3	蛣		U+86E3
086E4	蛤		U+86E4
086E9	蛩		U+86E9
086ED	蛭		U+86ED
086F8	蛸		U+86F8
086F9	蛹		U+86F9
086FE	蛾		U+86FE
08706	蜆		U+8706
08708	蜈		U+8708
08709	蜉		U+8709
0870B	蜋		U+870B
0870D	蜍		U+870D
08716	蜖		U+8716
08721	蜡		U+8721
08729	蜩		U+8729
0872B	蜫		U+872B
08730	蜰		U+8730
08739	蜹		U+8739
0873B	蜻		U+873B
0874B	蝋		U+874B
08757	蝗		U+8757
0875F	蝟		U+875F
08771	蝱		U+8771
08772	蝲		U+8772
08774	蝴		U+8774
08776	蝶		U+8776
08782	螂		U+8782
08783	螃		U+8783
08788	螈		U+8788
0878D	融		U+878D
0878E	螎		U+878E
08797	螗		U+8797
087A1	螡		U+87A1
087A3	螣		U+87A3
087AB	螫		U+87AB
087AF	螯		U+87AF
087B2	螲		U+87B2
087BD	螽		U+87BD
087BF	螿		U+87BF
087C2	蟂		U+87C2
087E5	蟥		U+87E5
087F2	蟲		U+87F2
087FA	蟺		U+87FA
087FB	蟻		U+87FB
08806	蠆		U+8806
08812	蠒		U+8812
0881F	蠟		U+881F
08823	蠣		U+8823
08831	蠱		U+8831
08839	蠹		U+8839
08841	衁		U+8841
08846	衆		U+8846
0884C	行		U+884C
0884E	衎		U+884E
08852	衒		U+8852
08853	術		U+8853
08854	衔		U+8854
08855	衕		U+8855
08856	衖		U+8856
08859	衙		U+8859
0885A	衚		U+885A
0885B	衛		U+885B
0885C	衜		U+885C
0885E	衞		U+885E
0885F	衟		U+885F
08861	衡		U+8861
08863	衣		U+8863
0886B	衫		U+886B
08871	衱		U+8871
08872	衲		U+8872
08875	衵		U+8875
08877	衷		U+8877
0887E	衾		U+887E
0887F	衿		U+887F
08881	袁		U+8881
0888C	袌		U+888C
0888D	袍		U+888D
08892	袒		U+8892
08896	袖		U+8896
088A0	袠		U+88A0
088A2	袢		U+88A2
088AD	袭		U+88AD
088B7	袷		U+88B7
088BA	袺		U+88BA
088BD	袽		U+88BD
088C2	裂		U+88C2
088C5	装		U+88C5
088CE	裎		U+88CE
088CF	裏		U+88CF
088D2	裒		U+88D2
088D4	裔		U+88D4
088D8	裘		U+88D8
088D9	裙		U+88D9
088DB	裛		U+88DB
088DD	裝		U+88DD
088E0	裠		U+88E0
088E1	裡		U+88E1
088E4	裤		U+88E4
088E5	裥		U+88E5
088EF	裯		U+88EF
088FE	裾		U+88FE
08912	褒		U+8912
08913	褓		U+8913
0891A	褚		U+891A
08921	褡		U+8921
08927	褧		U+8927
08930	褰		U+8930
08932	褲		U+8932
08934	褴		U+8934
0893B	褻		U+893B
08941	襁		U+8941
08943	襃		U+8943
08947	襇		U+8947
08949	襉		U+8949
0895A	襚		U+895A
0895F	襟		U+895F
08962	襢		U+8962
08964	襤		U+8964
0896B	襫		U+896B
0896D	襭		U+896D
0898B	見		U+898B
0898F	規		U+898F
0899A	覚		U+899A
089A7	覧		U+89A7
089A9	覩		U+89A9
089BA	覺		U+89BA
089BD	覽		U+89BD
089BF	覿		U+89BF
089C1	见		U+89C1
089C4	规		U+89C4
089C6	视		U+89C6
089C8	览		U+89C8
089C9	觉		U+89C9
089CC	觌		U+89CC
089D3	觓		U+89D3
089DE	觞		U+89DE
089E5	觥		U+89E5
089E7	觧		U+89E7
089E9	觩		U+89E9
089F4	觴		U+89F4
089F5	觵		U+89F5
08A00	言		U+8A00
08A02	訂		U+8A02
08A04	訄		U+8A04
08A08	計		U+8A08
08A0C	訌		U+8A0C
08A0E	討		U+8A0E
08A10	訐		U+8A10
08A13	訓		U+8A13
08A15	訕		U+8A15
08A16	訖		U+8A16
08A18	記		U+8A18
08A1A	訚		U+8A1A
08A1B	訛		U+8A1B
08A25	訥		U+8A25
08A27	訧		U+8A27
08A29	訩		U+8A29
08A2A	訪		U+8A2A
08A2D	設		U+8A2D
08A31	許		U+8A31
08A35	訵		U+8A35
08A39	訹		U+8A39
08A3C	証		U+8A3C
08A3D	訽		U+8A3D
08A41	詁		U+8A41
08A4E	詎		U+8A4E
08A58	詘		U+8A58
08A60	詠		U+8A60
08A69	詩		U+8A69
08A6C	詬		U+8A6C
08A6E	詮		U+8A6E
08A70	詰		U+8A70
08A75	詵		U+8A75
08A7C	詼		U+8A7C
08A85	誅		U+8A85
08A86	誆		U+8A86
08A8A	誊		U+8A8A
08A8C	誌		U+8A8C
08A91	誑		U+8A91
08A9A	誚		U+8A9A
08A9E	語		U+8A9E
08AA0	誠		U+8AA0
08AA1	誡		U+8AA1
08AA3	誣		U+8AA3
08AA4	誤		U+8AA4
08AA6	誦		U+8AA6
08AAD	読		U+8AAD
08ABC	誼		U+8ABC
08ABE	誾		U+8ABE
08ABF	調		U+8ABF
08ACB	請		U+8ACB
08ACD	諍		U+8ACD
08AD2	諒		U+8AD2
08AD7	諗		U+8AD7
08ADB	諛		U+8ADB
08ADC	諜		U+8ADC
08AF3	諳		U+8AF3
08AF8	諸		U+8AF8
08B02	謂		U+8B02
08B04	謄		U+8B04
08B07	謇		U+8B07
08B0E	謎		U+8B0E
08B17	謗		U+8B17
08B1D	謝		U+8B1D
08B26	謦		U+8B26
08B37	謷		U+8B37
08B38	謸		U+8B38
08B41	譁		U+8B41
08B4C	譌		U+8B4C
08B5C	譜		U+8B5C
08B66	警		U+8B66
08B70	議		U+8B70
08B75	譵		U+8B75
08B80	讀		U+8B80
08B86	讆		U+8B86
08B8E	讎		U+8B8E
08B8F	讏		U+8B8F
08B90	讐		U+8B90
08B9F	讟		U+8B9F
08BA1	计		U+8BA1
08BA2	订		U+8BA2
08BA6	讦		U+8BA6
08BA7	讧		U+8BA7
08BA8	讨		U+8BA8
08BAA	讪		U+8BAA
08BAB	讫		U+8BAB
08BAD	训		U+8BAD
08BAE	议		U+8BAE
08BB0	记		U+8BB0
08BB5	讵		U+8BB5
08BB7	讷		U+8BB7
08BB8	许		U+8BB8
08BB9	讹		U+8BB9
08BBB	讻		U+8BBB
08BBE	设		U+8BBE
08BBF	访		U+8BBF
08BC2	诂		U+8BC2
08BC9	诉		U+8BC9
08BCE	诎		U+8BCE
08BD3	诓		U+8BD3
08BD7	诗		U+8BD7
08BD8	诘		U+8BD8
08BD9	诙		U+8BD9
08BDA	诚		U+8BDA
08BDB	诛		U+8BDB
08BDC	诜		U+8BDC
08BDF	诟		U+8BDF
08BE0	诠		U+8BE0
08BE4	诤		U+8BE4
08BEB	诫		U+8BEB
08BEC	诬		U+8BEC
08BED	语		U+8BED
08BEE	诮		U+8BEE
08BEF	误		U+8BEF
08BF3	诳		U+8BF3
08BF5	诵		U+8BF5
08BF7	请		U+8BF7
08BF8	诸		U+8BF8
08BFB	读		U+8BFB
08C00	谀		U+8C00
08C02	谂		U+8C02
08C03	调		U+8C03
08C05	谅		U+8C05
08C0A	谊		U+8C0A
08C0D	谍		U+8C0D
08C13	谓		U+8C13
08C19	谙		U+8C19
08C1C	谜		U+8C1C
08C22	谢		U+8C22
08C24	谤		U+8C24
08C31	谱		U+8C31
08C3C	谼		U+8C3C
08C3D	谽		U+8C3D
08C47	豇		U+8C47
08C4A	豊		U+8C4A
08C55	豕		U+8C55
08C6B	豫		U+8C6B
08C6C	豬		U+8C6C
